reading_index,minutes_before_onset,PN00_S01,PN00_S02,PN00_S03,PN00_S04,PN00_S05,PN01_S01,PN01_S02,PN03_S01,PN03_S02,PN05_S01,PN05_S02,PN05_S03,PN06_S01,PN06_S02,PN06_S03,PN06_S04,PN06_S05,PN07_S01,PN09_S01,PN09_S02,PN09_S03,PN10_S01,PN10_S02,PN10_S03,PN10_S04,PN10_S05,PN10_S06,PN10_S07,PN10_S08,PN10_S09,PN10_S10,PN11_S01,PN12_S01,PN12_S02,PN12_S03,PN12_S04,PN13_S01,PN13_S02,PN13_S03,PN14_S01,PN14_S02,PN14_S03,PN14_S04,PN16_S01,PN16_S02,PN17_S01,PN17_S02
27,2.75,"(60, 0.007608)","(34, 0.041088)","(39, 0.028426)","(32, 0.057946)","(33, 0.022479)","(27, 0.029447)","(36, 0.045145)","(35, 0.040071)","(30, 0.048828)","(39, 0.034008)","(60, 0.006353)","(35, 0.044862)","(31, 0.050720)","(31, 0.031449)","(39, 0.036020)","(45, 0.008635)","(33, 0.027366)","(25, 0.048111)","(39, 0.065033)","(12, 0.028304)","(34, 0.044582)","(33, 0.091049)","(32, 0.036085)","(10, 0.019569)","(1, 0.042518)","(33, 0.082599)","(32, 0.042759)","(32, 0.039992)","(32, 0.041923)","(31, 0.028548)","(34, 0.029483)","(32, 0.070486)","(27, 0.037106)","(32, 0.041074)","(32, 0.036665)","(45, 0.030689)","(33, 0.028203)","(35, 0.028822)","(11, 0.011971)","(37, 0.046640)","(34, 0.034911)","(58, 0.028660)","(37, 0.033256)","(34, 0.062320)","(49, 0.055029)","(59, 0.056868)","(60, 0.015861)"
28,2.6666666666666665,"(60, 0.004788)","(25, 0.039344)","(39, 0.031622)","(32, 0.061928)","(27, 0.023120)","(27, 0.030220)","(32, 0.060404)","(35, 0.040023)","(30, 0.048665)","(31, 0.057647)","(60, 0.006300)","(35, 0.041818)","(30, 0.053443)","(31, 0.033609)","(55, 0.036662)","(45, 0.008902)","(33, 0.024063)","(32, 0.042932)","(39, 0.045248)","(39, 0.026021)","(39, 0.042540)","(32, 0.075095)","(32, 0.036133)","(10, 0.025017)","(1, 0.066979)","(33, 0.075867)","(32, 0.036353)","(32, 0.040258)","(31, 0.078902)","(27, 0.028760)","(34, 0.035355)","(32, 0.107018)","(27, 0.037666)","(32, 0.041169)","(37, 0.038001)","(35, 0.031535)","(33, 0.031655)","(36, 0.031694)","(24, 0.012987)","(37, 0.046486)","(34, 0.033714)","(58, 0.031330)","(37, 0.034041)","(34, 0.057623)","(49, 0.054620)","(59, 0.056218)","(60, 0.015921)"
29,2.5833333333333335,"(60, 0.010066)","(25, 0.043948)","(25, 0.040041)","(32, 0.058577)","(27, 0.023039)","(27, 0.035689)","(26, 0.033514)","(39, 0.034922)","(30, 0.046408)","(31, 0.057202)","(60, 0.006072)","(35, 0.042030)","(30, 0.054953)","(31, 0.033556)","(55, 0.039045)","(45, 0.008897)","(29, 0.022215)","(32, 0.042806)","(39, 0.036560)","(43, 0.026490)","(34, 0.036282)","(32, 0.076807)","(32, 0.036609)","(20, 0.022709)","(1, 0.046284)","(33, 0.086723)","(32, 0.029148)","(32, 0.037335)","(31, 0.075685)","(25, 0.032730)","(34, 0.035488)","(32, 0.107943)","(27, 0.038122)","(29, 0.043563)","(34, 0.034848)","(34, 0.029004)","(32, 0.035102)","(29, 0.029756)","(11, 0.012021)","(37, 0.046913)","(30, 0.040669)","(58, 0.029829)","(37, 0.028864)","(27, 0.065352)","(49, 0.048684)","(59, 0.054515)","(60, 0.010855)"
30,2.5,"(60, 0.010045)","(25, 0.036388)","(25, 0.037949)","(32, 0.059897)","(20, 0.024023)","(27, 0.033334)","(26, 0.038574)","(30, 0.046528)","(30, 0.051604)","(31, 0.055515)","(60, 0.007025)","(35, 0.048483)","(31, 0.058324)","(31, 0.033609)","(55, 0.037483)","(38, 0.007704)","(29, 0.023542)","(32, 0.044120)","(22, 0.033685)","(40, 0.027676)","(34, 0.032142)","(32, 0.076267)","(27, 0.023686)","(22, 0.020060)","(1, 0.034968)","(30, 0.081824)","(32, 0.035887)","(32, 0.037706)","(32, 0.074942)","(25, 0.028143)","(34, 0.035478)","(31, 0.101749)","(27, 0.037752)","(29, 0.045834)","(32, 0.032099)","(23, 0.039899)","(32, 0.035186)","(29, 0.024484)","(16, 0.010085)","(34, 0.045994)","(30, 0.042035)","(58, 0.041609)","(37, 0.030132)","(27, 0.066852)","(49, 0.056759)","(59, 0.050291)","(60, 0.008722)"
31,2.4166666666666665,"(60, 0.010070)","(25, 0.040588)","(25, 0.045182)","(32, 0.059889)","(20, 0.024591)","(20, 0.034519)","(26, 0.024487)","(30, 0.049350)","(30, 0.053637)","(30, 0.044779)","(60, 0.008070)","(39, 0.037799)","(31, 0.058622)","(21, 0.036788)","(29, 0.032373)","(38, 0.009173)","(29, 0.031060)","(25, 0.050199)","(39, 0.032032)","(51, 0.027711)","(30, 0.045539)","(32, 0.070303)","(27, 0.025259)","(53, 0.014831)","(1, 0.045696)","(30, 0.078012)","(32, 0.039988)","(23, 0.022264)","(30, 0.081880)","(25, 0.032129)","(34, 0.031949)","(30, 0.090808)","(27, 0.036268)","(29, 0.041461)","(32, 0.034946)","(45, 0.031265)","(32, 0.037017)","(29, 0.027075)","(16, 0.010137)","(44, 0.028781)","(30, 0.035342)","(58, 0.040579)","(37, 0.027950)","(27, 0.065352)","(44, 0.051496)","(59, 0.050298)","(60, 0.009004)"
32,2.3333333333333335,"(60, 0.009804)","(25, 0.031627)","(23, 0.042877)","(32, 0.057223)","(20, 0.024506)","(27, 0.032599)","(26, 0.039250)","(30, 0.042034)","(30, 0.053567)","(28, 0.049524)","(60, 0.009444)","(35, 0.029588)","(31, 0.058622)","(21, 0.044770)","(25, 0.044093)","(38, 0.009348)","(25, 0.027099)","(25, 0.061839)","(39, 0.033599)","(51, 0.033243)","(30, 0.031381)","(32, 0.066360)","(27, 0.015946)","(53, 0.014960)","(6, 0.032095)","(30, 0.076987)","(34, 0.025986)","(11, 0.027687)","(30, 0.068967)","(25, 0.035367)","(34, 0.032534)","(28, 0.063580)","(27, 0.032783)","(29, 0.044142)","(16, 0.037393)","(39, 0.042643)","(32, 0.026093)","(29, 0.023954)","(52, 0.009475)","(23, 0.030027)","(25, 0.036620)","(48, 0.030184)","(37, 0.030334)","(27, 0.060278)","(44, 0.041661)","(59, 0.050684)","(60, 0.010513)"
33,2.25,"(60, 0.010459)","(25, 0.036441)","(25, 0.046138)","(30, 0.048021)","(20, 0.024476)","(27, 0.036302)","(27, 0.037361)","(25, 0.043788)","(27, 0.046609)","(25, 0.037559)","(60, 0.010210)","(21, 0.021967)","(31, 0.058622)","(21, 0.041346)","(25, 0.052896)","(38, 0.009320)","(25, 0.032747)","(25, 0.058627)","(43, 0.033687)","(58, 0.038335)","(30, 0.041840)","(32, 0.063781)","(27, 0.018465)","(22, 0.027507)","(23, 0.026614)","(30, 0.077455)","(32, 0.027372)","(11, 0.024901)","(25, 0.068202)","(25, 0.032254)","(34, 0.031911)","(25, 0.058888)","(27, 0.035584)","(25, 0.046932)","(28, 0.029785)","(39, 0.036811)","(32, 0.032851)","(29, 0.026103)","(52, 0.010772)","(23, 0.029915)","(30, 0.041596)","(39, 0.027235)","(37, 0.029799)","(25, 0.066914)","(44, 0.043062)","(59, 0.067793)","(60, 0.004787)"
34,2.1666666666666665,"(60, 0.008379)","(25, 0.040409)","(25, 0.046335)","(30, 0.046224)","(17, 0.030721)","(27, 0.037511)","(27, 0.040102)","(25, 0.044537)","(20, 0.041650)","(25, 0.050973)","(60, 0.015133)","(21, 0.019975)","(25, 0.037123)","(21, 0.036546)","(25, 0.078679)","(38, 0.008978)","(25, 0.028406)","(25, 0.064255)","(39, 0.031521)","(58, 0.037420)","(27, 0.036871)","(25, 0.058045)","(27, 0.018242)","(11, 0.024875)","(26, 0.025587)","(25, 0.076301)","(27, 0.018764)","(11, 0.027680)","(30, 0.068387)","(25, 0.035994)","(25, 0.036390)","(25, 0.037508)","(22, 0.032918)","(25, 0.045906)","(28, 0.030179)","(37, 0.033139)","(27, 0.029272)","(29, 0.030060)","(60, 0.009828)","(23, 0.032539)","(30, 0.041469)","(39, 0.026343)","(37, 0.029614)","(25, 0.069029)","(43, 0.037939)","(59, 0.069098)","(60, 0.004775)"
35,2.0833333333333335,"(60, 0.004816)","(25, 0.039862)","(25, 0.046335)","(30, 0.039244)","(20, 0.026805)","(27, 0.038224)","(22, 0.045801)","(25, 0.046683)","(22, 0.061277)","(26, 0.025739)","(60, 0.009435)","(1, 0.021230)","(25, 0.040027)","(21, 0.036816)","(25, 0.060565)","(29, 0.009676)","(26, 0.021031)","(23, 0.069454)","(24, 0.043560)","(58, 0.040848)","(23, 0.026855)","(25, 0.056424)","(27, 0.018465)","(54, 0.012031)","(23, 0.025921)","(25, 0.082065)","(25, 0.023308)","(11, 0.025942)","(25, 0.065051)","(25, 0.037081)","(25, 0.033235)","(25, 0.028734)","(31, 0.030330)","(29, 0.041881)","(17, 0.033596)","(6, 0.032174)","(27, 0.032101)","(29, 0.030870)","(52, 0.008443)","(23, 0.027054)","(30, 0.041469)","(39, 0.026851)","(37, 0.031235)","(25, 0.068772)","(23, 0.041741)","(59, 0.047540)","(60, 0.004739)"
36,2.0,"(60, 0.005000)","(25, 0.041255)","(23, 0.043972)","(30, 0.039264)","(17, 0.029799)","(27, 0.030222)","(26, 0.040998)","(22, 0.052556)","(20, 0.057653)","(21, 0.021262)","(60, 0.008909)","(59, 0.024863)","(25, 0.041705)","(21, 0.045952)","(25, 0.061032)","(38, 0.009253)","(24, 0.023924)","(23, 0.069837)","(24, 0.039012)","(58, 0.042632)","(23, 0.033499)","(25, 0.056620)","(42, 0.020237)","(11, 0.023900)","(26, 0.023429)","(25, 0.068114)","(23, 0.028469)","(11, 0.027001)","(25, 0.066515)","(23, 0.033257)","(34, 0.027153)","(16, 0.027401)","(22, 0.031628)","(32, 0.039793)","(16, 0.046197)","(1, 0.037580)","(24, 0.022648)","(18, 0.029259)","(20, 0.008020)","(52, 0.025274)","(25, 0.042979)","(39, 0.026824)","(37, 0.028864)","(25, 0.070378)","(23, 0.041487)","(59, 0.035466)","(60, 0.004722)"
37,1.9166666666666667,"(60, 0.005000)","(25, 0.043156)","(23, 0.043059)","(30, 0.038296)","(17, 0.032088)","(27, 0.029512)","(22, 0.049308)","(20, 0.064326)","(22, 0.056726)","(15, 0.027992)","(60, 0.007937)","(20, 0.022641)","(22, 0.041746)","(21, 0.046006)","(25, 0.055377)","(38, 0.008829)","(23, 0.022275)","(23, 0.069585)","(22, 0.069612)","(58, 0.044305)","(23, 0.031772)","(25, 0.056626)","(19, 0.024391)","(6, 0.028112)","(33, 0.024335)","(23, 0.035677)","(29, 0.031070)","(23, 0.025981)","(23, 0.047402)","(25, 0.035891)","(41, 0.027711)","(16, 0.029674)","(26, 0.024256)","(22, 0.035485)","(17, 0.035153)","(1, 0.039179)","(33, 0.022386)","(18, 0.033029)","(44, 0.007031)","(23, 0.030137)","(25, 0.038544)","(39, 0.026020)","(37, 0.032180)","(25, 0.062945)","(23, 0.046587)","(60, 0.027600)","(60, 0.004737)"
38,1.8333333333333333,"(60, 0.005027)","(25, 0.042164)","(23, 0.041466)","(15, 0.034525)","(20, 0.027985)","(20, 0.047068)","(26, 0.042259)","(20, 0.058302)","(20, 0.066869)","(21, 0.019484)","(60, 0.007422)","(20, 0.028401)","(22, 0.042323)","(21, 0.045691)","(25, 0.042213)","(38, 0.009371)","(18, 0.041257)","(23, 0.069314)","(22, 0.069892)","(51, 0.032428)","(23, 0.033753)","(25, 0.058039)","(17, 0.032379)","(54, 0.011846)","(33, 0.024617)","(20, 0.038304)","(23, 0.035336)","(23, 0.030422)","(23, 0.051513)","(25, 0.035277)","(13, 0.042078)","(20, 0.036227)","(23, 0.022804)","(20, 0.034188)","(16, 0.036995)","(6, 0.032174)","(24, 0.025797)","(35, 0.022926)","(44, 0.007405)","(16, 0.031065)","(25, 0.046802)","(39, 0.025268)","(21, 0.031396)","(24, 0.066877)","(23, 0.040784)","(60, 0.029773)","(60, 0.006094)"
39,1.75,"(60, 0.005211)","(25, 0.042164)","(23, 0.039826)","(14, 0.049277)","(17, 0.033603)","(20, 0.039860)","(20, 0.047897)","(20, 0.075564)","(20, 0.080013)","(13, 0.022197)","(60, 0.007501)","(20, 0.046908)","(18, 0.047670)","(21, 0.045605)","(25, 0.044289)","(8, 0.018597)","(18, 0.051045)","(20, 0.094353)","(22, 0.064744)","(51, 0.035341)","(23, 0.033032)","(25, 0.058443)","(18, 0.023508)","(53, 0.013624)","(42, 0.026322)","(20, 0.042992)","(23, 0.036351)","(23, 0.031087)","(23, 0.049053)","(25, 0.035059)","(13, 0.037147)","(16, 0.034558)","(20, 0.025491)","(20, 0.036157)","(16, 0.049726)","(6, 0.030192)","(24, 0.021454)","(18, 0.033689)","(60, 0.005990)","(16, 0.049388)","(20, 0.043132)","(39, 0.025196)","(22, 0.027124)","(20, 0.065794)","(23, 0.044773)","(59, 0.029322)","(60, 0.005294)"
40,1.6666666666666667,"(60, 0.005190)","(25, 0.040596)","(25, 0.048046)","(15, 0.041853)","(17, 0.032754)","(20, 0.057620)","(19, 0.061036)","(20, 0.057871)","(20, 0.071282)","(20, 0.027340)","(60, 0.011781)","(20, 0.052434)","(18, 0.048249)","(21, 0.053297)","(20, 0.076185)","(1, 0.017348)","(18, 0.043860)","(20, 0.097800)","(22, 0.069892)","(57, 0.037910)","(23, 0.033032)","(25, 0.058331)","(13, 0.024037)","(49, 0.030047)","(42, 0.025775)","(20, 0.023029)","(13, 0.045541)","(23, 0.031087)","(23, 0.050167)","(23, 0.032786)","(13, 0.042078)","(14, 0.037739)","(17, 0.038265)","(20, 0.031774)","(16, 0.040273)","(6, 0.030245)","(19, 0.023496)","(18, 0.026921)","(60, 0.006122)","(16, 0.043369)","(30, 0.033607)","(39, 0.025196)","(22, 0.026770)","(24, 0.063876)","(23, 0.045336)","(59, 0.029038)","(60, 0.007631)"
41,1.5833333333333333,"(60, 0.005027)","(25, 0.040596)","(25, 0.043465)","(15, 0.038341)","(14, 0.043024)","(20, 0.032734)","(19, 0.069845)","(18, 0.049182)","(20, 0.079922)","(26, 0.025605)","(60, 0.009415)","(20, 0.040582)","(17, 0.049217)","(21, 0.032070)","(20, 0.076185)","(7, 0.011898)","(18, 0.041103)","(20, 0.093254)","(22, 0.058992)","(57, 0.036468)","(23, 0.034291)","(18, 0.042444)","(13, 0.027938)","(49, 0.031587)","(33, 0.026114)","(12, 0.017852)","(11, 0.049854)","(13, 0.024015)","(23, 0.049115)","(23, 0.031819)","(13, 0.056602)","(14, 0.039999)","(17, 0.039546)","(41, 0.024019)","(16, 0.043929)","(32, 0.030476)","(24, 0.021214)","(18, 0.031181)","(60, 0.006112)","(16, 0.052117)","(20, 0.041699)","(39, 0.021331)","(16, 0.033309)","(23, 0.061912)","(20, 0.036383)","(59, 0.031342)","(60, 0.007609)"
42,1.5,"(60, 0.005120)","(25, 0.040798)","(25, 0.043452)","(15, 0.039590)","(17, 0.035575)","(17, 0.041574)","(19, 0.066658)","(18, 0.041042)","(18, 0.059832)","(13, 0.030296)","(60, 0.009298)","(20, 0.028382)","(17, 0.048612)","(13, 0.051666)","(21, 0.041451)","(7, 0.010542)","(18, 0.048533)","(20, 0.091030)","(20, 0.045738)","(59, 0.050117)","(17, 0.029258)","(18, 0.042383)","(13, 0.027152)","(53, 0.016541)","(33, 0.026725)","(12, 0.024933)","(11, 0.049870)","(23, 0.033953)","(23, 0.049732)","(23, 0.032150)","(12, 0.055280)","(16, 0.042909)","(17, 0.036815)","(8, 0.023271)","(16, 0.043455)","(32, 0.036792)","(19, 0.025245)","(15, 0.029466)","(6, 0.006524)","(16, 0.052117)","(25, 0.040518)","(39, 0.024374)","(16, 0.033284)","(20, 0.067842)","(37, 0.028660)","(59, 0.031661)","(60, 0.010403)"
43,1.4166666666666667,"(60, 0.005287)","(18, 0.047177)","(20, 0.023742)","(15, 0.039857)","(14, 0.041148)","(17, 0.041141)","(19, 0.071766)","(17, 0.053658)","(17, 0.057940)","(13, 0.053737)","(60, 0.015627)","(20, 0.030195)","(11, 0.059706)","(13, 0.048926)","(25, 0.036686)","(47, 0.007561)","(18, 0.047484)","(20, 0.076690)","(20, 0.056507)","(57, 0.044424)","(17, 0.027975)","(18, 0.041508)","(13, 0.033044)","(49, 0.028795)","(50, 0.032244)","(12, 0.044969)","(11, 0.049870)","(12, 0.028686)","(23, 0.049204)","(6, 0.024451)","(11, 0.047566)","(13, 0.042336)","(17, 0.035389)","(14, 0.029769)","(16, 0.040173)","(32, 0.035274)","(9, 0.024279)","(15, 0.028897)","(6, 0.006524)","(16, 0.052099)","(13, 0.042131)","(39, 0.022591)","(16, 0.031986)","(20, 0.047725)","(23, 0.034622)","(59, 0.032681)","(60, 0.023385)"
44,1.3333333333333333,"(60, 0.005502)","(15, 0.046796)","(13, 0.034824)","(15, 0.043679)","(14, 0.041022)","(16, 0.037637)","(15, 0.064951)","(17, 0.038967)","(1, 0.040842)","(13, 0.029747)","(60, 0.022105)","(20, 0.031795)","(11, 0.056264)","(13, 0.054768)","(15, 0.027813)","(7, 0.017448)","(18, 0.039144)","(16, 0.048775)","(20, 0.048625)","(57, 0.047819)","(17, 0.024844)","(18, 0.042045)","(13, 0.011919)","(53, 0.014495)","(32, 0.028459)","(12, 0.044632)","(11, 0.061263)","(12, 0.028887)","(30, 0.042068)","(6, 0.023478)","(11, 0.057403)","(13, 0.058165)","(17, 0.035389)","(10, 0.036838)","(16, 0.043787)","(37, 0.042823)","(10, 0.031649)","(15, 0.030527)","(60, 0.007357)","(16, 0.051058)","(20, 0.029625)","(39, 0.023691)","(16, 0.027514)","(13, 0.053572)","(1, 0.029382)","(60, 0.026070)","(60, 0.020414)"
45,1.25,"(60, 0.005285)","(18, 0.042272)","(39, 0.024463)","(15, 0.040208)","(14, 0.042830)","(20, 0.028593)","(15, 0.066250)","(12, 0.047304)","(17, 0.035678)","(13, 0.031134)","(60, 0.016752)","(20, 0.031259)","(11, 0.057399)","(13, 0.059492)","(15, 0.027813)","(45, 0.010467)","(14, 0.043062)","(16, 0.046946)","(14, 0.046858)","(59, 0.048915)","(17, 0.025984)","(17, 0.046412)","(13, 0.014304)","(54, 0.012425)","(6, 0.026051)","(12, 0.038314)","(11, 0.061263)","(15, 0.024571)","(16, 0.043435)","(11, 0.021495)","(11, 0.039645)","(14, 0.054343)","(14, 0.042930)","(10, 0.041463)","(16, 0.051797)","(37, 0.035646)","(10, 0.035875)","(14, 0.030526)","(60, 0.006995)","(13, 0.042647)","(20, 0.031618)","(59, 0.024927)","(16, 0.030145)","(15, 0.050425)","(34, 0.027210)","(59, 0.028958)","(59, 0.028272)"
46,1.1666666666666667,"(60, 0.004467)","(12, 0.053172)","(13, 0.037591)","(13, 0.056989)","(14, 0.043089)","(10, 0.033543)","(15, 0.061957)","(17, 0.053631)","(17, 0.045111)","(12, 0.050459)","(60, 0.016646)","(14, 0.031220)","(10, 0.050195)","(13, 0.069502)","(12, 0.035790)","(7, 0.012882)","(14, 0.041303)","(14, 0.054327)","(13, 0.054656)","(57, 0.043828)","(7, 0.032454)","(17, 0.046366)","(11, 0.029564)","(53, 0.014977)","(31, 0.024802)","(12, 0.046438)","(13, 0.056352)","(12, 0.028872)","(16, 0.044229)","(11, 0.021507)","(11, 0.044348)","(14, 0.061064)","(10, 0.057459)","(10, 0.050549)","(13, 0.042073)","(37, 0.032160)","(10, 0.041381)","(14, 0.034154)","(60, 0.006821)","(16, 0.045525)","(12, 0.050871)","(39, 0.016915)","(16, 0.030742)","(13, 0.052642)","(37, 0.028827)","(60, 0.023969)","(59, 0.022586)"
47,1.0833333333333333,"(60, 0.006397)","(12, 0.054540)","(13, 0.040149)","(13, 0.067118)","(12, 0.053406)","(13, 0.049001)","(10, 0.058321)","(11, 0.048110)","(14, 0.045203)","(11, 0.051883)","(60, 0.018918)","(13, 0.036434)","(11, 0.058769)","(13, 0.073387)","(9, 0.048560)","(7, 0.014541)","(11, 0.044724)","(9, 0.048709)","(12, 0.053923)","(57, 0.037113)","(17, 0.031634)","(18, 0.045679)","(10, 0.031434)","(53, 0.015110)","(5, 0.023274)","(12, 0.047166)","(11, 0.061289)","(12, 0.038191)","(16, 0.044038)","(11, 0.024191)","(11, 0.044800)","(13, 0.057745)","(10, 0.043717)","(10, 0.070738)","(13, 0.048102)","(1, 0.037331)","(11, 0.036491)","(1, 0.065335)","(60, 0.005890)","(13, 0.041809)","(13, 0.036334)","(37, 0.016686)","(7, 0.029990)","(12, 0.055154)","(37, 0.028958)","(15, 0.022303)","(59, 0.022945)"
48,1.0,"(60, 0.007235)","(14, 0.046336)","(13, 0.040830)","(12, 0.040824)","(5, 0.056163)","(10, 0.042225)","(10, 0.038167)","(11, 0.050653)","(14, 0.049129)","(11, 0.051943)","(59, 0.016933)","(9, 0.041248)","(11, 0.061103)","(13, 0.069477)","(9, 0.050108)","(7, 0.013844)","(11, 0.046723)","(9, 0.050352)","(12, 0.055444)","(45, 0.027964)","(6, 0.028659)","(8, 0.057240)","(11, 0.025131)","(53, 0.015743)","(26, 0.025705)","(12, 0.044246)","(11, 0.066292)","(12, 0.032803)","(1, 0.037218)","(11, 0.024191)","(11, 0.046711)","(13, 0.061714)","(10, 0.054026)","(10, 0.071545)","(13, 0.051489)","(1, 0.115083)","(10, 0.030523)","(1, 0.046904)","(38, 0.006966)","(12, 0.049755)","(12, 0.061624)","(27, 0.017161)","(1, 0.042224)","(10, 0.060203)","(42, 0.025690)","(15, 0.022335)","(59, 0.025305)"
49,0.9166666666666666,"(60, 0.004208)","(14, 0.048896)","(13, 0.039058)","(13, 0.060912)","(12, 0.065094)","(1, 0.043504)","(24, 0.026296)","(11, 0.058613)","(1, 0.043631)","(11, 0.051883)","(59, 0.021917)","(9, 0.043983)","(11, 0.065253)","(8, 0.080846)","(8, 0.064019)","(5, 0.024853)","(11, 0.056502)","(9, 0.047607)","(12, 0.049266)","(45, 0.027320)","(11, 0.025894)","(8, 0.049113)","(9, 0.023953)","(53, 0.018753)","(32, 0.028448)","(1, 0.053796)","(11, 0.058489)","(23, 0.029692)","(1, 0.047488)","(11, 0.024175)","(11, 0.042808)","(13, 0.062003)","(10, 0.061261)","(10, 0.075865)","(12, 0.035986)","(1, 0.104466)","(10, 0.033018)","(1, 0.046726)","(60, 0.006404)","(12, 0.050327)","(12, 0.056594)","(27, 0.016458)","(7, 0.033751)","(12, 0.054731)","(42, 0.026065)","(15, 0.022319)","(20, 0.032357)"
50,0.8333333333333334,"(60, 0.005983)","(1, 0.059520)","(7, 0.049510)","(7, 0.049960)","(5, 0.051763)","(10, 0.046856)","(1, 0.061064)","(9, 0.053665)","(5, 0.052431)","(11, 0.043044)","(59, 0.037602)","(6, 0.045445)","(11, 0.061037)","(8, 0.068735)","(8, 0.069356)","(6, 0.010953)","(11, 0.058754)","(9, 0.047784)","(10, 0.051689)","(59, 0.049483)","(9, 0.026131)","(8, 0.057977)","(9, 0.027457)","(53, 0.021115)","(23, 0.026483)","(1, 0.047640)","(11, 0.046465)","(23, 0.027931)","(6, 0.054745)","(11, 0.023982)","(11, 0.042620)","(9, 0.070267)","(10, 0.066207)","(10, 0.075362)","(9, 0.041454)","(7, 0.028975)","(10, 0.034526)","(9, 0.041335)","(45, 0.005724)","(10, 0.047097)","(12, 0.056559)","(27, 0.015793)","(1, 0.034501)","(12, 0.056199)","(17, 0.027436)","(58, 0.018564)","(20, 0.037098)"
51,0.75,"(60, 0.026864)","(1, 0.046511)","(7, 0.074203)","(8, 0.015010)","(13, 0.042684)","(10, 0.042485)","(15, 0.052984)","(9, 0.053121)","(20, 0.050712)","(7, 0.028786)","(59, 0.039188)","(9, 0.046785)","(11, 0.066121)","(8, 0.068735)","(8, 0.069356)","(60, 0.009262)","(11, 0.062167)","(8, 0.054474)","(10, 0.046805)","(57, 0.049137)","(9, 0.026468)","(8, 0.057988)","(9, 0.026581)","(53, 0.015951)","(23, 0.024926)","(1, 0.052111)","(7, 0.043420)","(7, 0.039227)","(6, 0.054279)","(11, 0.022367)","(11, 0.046575)","(9, 0.060479)","(10, 0.076438)","(9, 0.069418)","(9, 0.053167)","(1, 0.094266)","(9, 0.042221)","(12, 0.030955)","(60, 0.010968)","(1, 0.050420)","(5, 0.058592)","(36, 0.015074)","(1, 0.042480)","(1, 0.065801)","(25, 0.027905)","(16, 0.018393)","(20, 0.036193)"
52,0.6666666666666666,"(60, 0.023287)","(1, 0.063217)","(7, 0.077988)","(7, 0.046318)","(12, 0.053049)","(7, 0.042949)","(1, 0.074080)","(6, 0.034277)","(1, 0.060218)","(7, 0.033169)","(59, 0.038929)","(6, 0.072245)","(6, 0.061065)","(8, 0.072481)","(8, 0.066695)","(60, 0.008089)","(11, 0.059698)","(8, 0.061508)","(6, 0.067320)","(57, 0.039303)","(7, 0.019149)","(8, 0.067483)","(8, 0.024135)","(54, 0.012000)","(27, 0.028668)","(1, 0.050695)","(9, 0.037119)","(7, 0.039227)","(6, 0.056192)","(6, 0.027493)","(1, 0.057052)","(8, 0.055278)","(10, 0.062704)","(8, 0.079740)","(1, 0.051801)","(1, 0.048892)","(1, 0.052256)","(9, 0.053024)","(60, 0.012026)","(1, 0.051768)","(5, 0.062143)","(36, 0.020267)","(1, 0.037178)","(1, 0.070567)","(20, 0.027524)","(16, 0.019853)","(20, 0.040306)"
53,0.5833333333333334,"(60, 0.020986)","(1, 0.121156)","(7, 0.081962)","(7, 0.042867)","(5, 0.050838)","(1, 0.052144)","(1, 0.079982)","(6, 0.054021)","(4, 0.074125)","(7, 0.029868)","(60, 0.039756)","(6, 0.075918)","(1, 0.066478)","(8, 0.053266)","(8, 0.069356)","(60, 0.006065)","(4, 0.062615)","(8, 0.066188)","(6, 0.075468)","(57, 0.037098)","(6, 0.032804)","(7, 0.059160)","(1, 0.027111)","(54, 0.012185)","(6, 0.032429)","(1, 0.068469)","(9, 0.034087)","(1, 0.078660)","(1, 0.065126)","(1, 0.030672)","(7, 0.040189)","(1, 0.079140)","(10, 0.076949)","(8, 0.079488)","(8, 0.049407)","(1, 0.051167)","(1, 0.067570)","(1, 0.075194)","(60, 0.010852)","(1, 0.062046)","(5, 0.059233)","(36, 0.020267)","(7, 0.033051)","(10, 0.063643)","(20, 0.025473)","(16, 0.019332)","(20, 0.036360)"
54,0.5,"(60, 0.021845)","(1, 0.125473)","(1, 0.094713)","(1, 0.037798)","(5, 0.070874)","(1, 0.053230)","(1, 0.095926)","(10, 0.046646)","(4, 0.072354)","(7, 0.029883)","(60, 0.044682)","(5, 0.071979)","(1, 0.066478)","(1, 0.060987)","(8, 0.071999)","(60, 0.005817)","(4, 0.071178)","(6, 0.053764)","(6, 0.055417)","(48, 0.018490)","(1, 0.035644)","(1, 0.089614)","(1, 0.040299)","(54, 0.012889)","(6, 0.033346)","(1, 0.068469)","(1, 0.064771)","(7, 0.059945)","(6, 0.059437)","(1, 0.043981)","(1, 0.051197)","(1, 0.051059)","(1, 0.115513)","(1, 0.118449)","(8, 0.053465)","(9, 0.029851)","(1, 0.051254)","(6, 0.061051)","(60, 0.010608)","(1, 0.070508)","(1, 0.065499)","(36, 0.020235)","(1, 0.053871)","(1, 0.062226)","(41, 0.026613)","(16, 0.018664)","(59, 0.028267)"
