held_out_patient,rank,channel_added,selected_channels
PN10,23,O2,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5, T5, O2"
PN10,24,C3,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5, T5, O2, C3"
PN10,25,FP1,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5, T5, O2, C3, FP1"
PN10,26,F3,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5, T5, O2, C3, FP1, F3"
PN10,27,FP2,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5, T5, O2, C3, FP1, F3, FP2"
PN10,28,F9,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5, T5, O2, C3, FP1, F3, FP2, F9"
PN10,29,FZ,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5, T5, O2, C3, FP1, F3, FP2, F9, FZ"
PN11,1,T4,T4
PN11,2,CP5,"T4, CP5"
PN11,3,PZ,"T4, CP5, PZ"
PN11,4,T3,"T4, CP5, PZ, T3"
PN11,5,CP6,"T4, CP5, PZ, T3, CP6"
PN11,6,FC6,"T4, CP5, PZ, T3, CP6, FC6"
PN11,7,T5,"T4, CP5, PZ, T3, CP6, FC6, T5"
PN11,8,P3,"T4, CP5, PZ, T3, CP6, FC6, T5, P3"
PN11,9,O1,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1"
PN11,10,FC5,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5"
PN11,11,FP1,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1"
PN11,12,F7,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7"
PN11,13,P4,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4"
PN11,14,FP2,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2"
PN11,15,CP2,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2"
PN11,16,F3,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3"
PN11,17,CP1,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1"
PN11,18,C4,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4"
PN11,19,F4,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4"
PN11,20,T6,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6"
PN11,21,FC1,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1"
PN11,22,F8,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1, F8"
PN11,23,F10,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1, F8, F10"
PN11,24,FZ,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1, F8, F10, FZ"
PN11,25,F9,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1, F8, F10, FZ, F9"
PN11,26,FC2,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1, F8, F10, FZ, F9, FC2"
PN11,27,O2,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1, F8, F10, FZ, F9, FC2, O2"
PN11,28,CZ,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1, F8, F10, FZ, F9, FC2, O2, CZ"
PN11,29,C3,"T4, CP5, PZ, T3, CP6, FC6, T5, P3, O1, FC5, FP1, F7, P4, FP2, CP2, F3, CP1, C4, F4, T6, FC1, F8, F10, FZ, F9, FC2, O2, CZ, C3"
PN12,1,FZ,FZ
PN12,2,FP1,"FZ, FP1"
PN12,3,T5,"FZ, FP1, T5"
PN12,4,T6,"FZ, FP1, T5, T6"
PN12,5,CZ,"FZ, FP1, T5, T6, CZ"
PN12,6,FP2,"FZ, FP1, T5, T6, CZ, FP2"
PN12,7,CP2,"FZ, FP1, T5, T6, CZ, FP2, CP2"
PN12,8,FC2,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2"
PN12,9,FC1,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1"
PN12,10,O2,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2"
PN12,11,F4,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4"
PN12,12,PZ,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ"
PN12,13,T3,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3"
PN12,14,CP5,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5"
PN12,15,T4,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4"
PN12,16,F7,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7"
PN12,17,F10,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10"
PN12,18,F3,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3"
PN12,19,P4,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4"
PN12,20,CP6,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6"
PN12,21,FC6,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6"
PN12,22,F8,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6, F8"
PN12,23,P3,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6, F8, P3"
PN12,24,CP1,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6, F8, P3, CP1"
PN12,25,C4,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6, F8, P3, CP1, C4"
PN12,26,FC5,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6, F8, P3, CP1, C4, FC5"
PN12,27,O1,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6, F8, P3, CP1, C4, FC5, O1"
PN12,28,C3,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6, F8, P3, CP1, C4, FC5, O1, C3"
PN12,29,F9,"FZ, FP1, T5, T6, CZ, FP2, CP2, FC2, FC1, O2, F4, PZ, T3, CP5, T4, F7, F10, F3, P4, CP6, FC6, F8, P3, CP1, C4, FC5, O1, C3, F9"
PN13,1,T3,T3
PN13,2,T6,"T3, T6"
PN13,3,CP5,"T3, T6, CP5"
PN13,4,CP6,"T3, T6, CP5, CP6"
PN13,5,FZ,"T3, T6, CP5, CP6, FZ"
PN13,6,P3,"T3, T6, CP5, CP6, FZ, P3"
PN13,7,T4,"T3, T6, CP5, CP6, FZ, P3, T4"
PN13,8,FP2,"T3, T6, CP5, CP6, FZ, P3, T4, FP2"
PN13,9,PZ,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ"
PN13,10,FC1,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1"
PN13,11,F4,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4"
PN13,12,F7,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7"
PN13,13,F9,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9"
PN13,14,F3,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3"
PN13,15,CP1,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1"
PN13,16,T5,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5"
PN13,17,FP1,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1"
PN13,18,F10,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10"
PN13,19,CZ,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ"
PN13,20,P4,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4"
PN13,21,O2,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2"
PN13,22,C4,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2, C4"
PN13,23,FC6,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2, C4, FC6"
PN13,24,FC2,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2, C4, FC6, FC2"
PN13,25,F8,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2, C4, FC6, FC2, F8"
PN13,26,O1,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2, C4, FC6, FC2, F8, O1"
PN13,27,C3,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2, C4, FC6, FC2, F8, O1, C3"
PN13,28,CP2,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2, C4, FC6, FC2, F8, O1, C3, CP2"
PN13,29,FC5,"T3, T6, CP5, CP6, FZ, P3, T4, FP2, PZ, FC1, F4, F7, F9, F3, CP1, T5, FP1, F10, CZ, P4, O2, C4, FC6, FC2, F8, O1, C3, CP2, FC5"
PN14,1,T4,T4
PN14,2,PZ,"T4, PZ"
PN14,3,FC1,"T4, PZ, FC1"
PN14,4,CP5,"T4, PZ, FC1, CP5"
PN14,5,T5,"T4, PZ, FC1, CP5, T5"
PN14,6,FC6,"T4, PZ, FC1, CP5, T5, FC6"
PN14,7,FC2,"T4, PZ, FC1, CP5, T5, FC6, FC2"
PN14,8,P4,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4"
PN14,9,F7,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7"
PN14,10,CP2,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2"
PN14,11,T3,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3"
PN14,12,CP1,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1"
PN14,13,T6,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6"
PN14,14,C4,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4"
PN14,15,P3,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3"
PN14,16,F3,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3"
PN14,17,CZ,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ"
PN14,18,CP6,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6"
PN14,19,F4,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4"
PN14,20,FP2,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2"
PN14,21,O1,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1"
PN14,22,F10,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1, F10"
PN14,23,FP1,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1, F10, FP1"
PN14,24,F8,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1, F10, FP1, F8"
PN14,25,FZ,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1, F10, FP1, F8, FZ"
PN14,26,FC5,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1, F10, FP1, F8, FZ, FC5"
PN14,27,O2,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1, F10, FP1, F8, FZ, FC5, O2"
PN14,28,C3,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1, F10, FP1, F8, FZ, FC5, O2, C3"
PN14,29,F9,"T4, PZ, FC1, CP5, T5, FC6, FC2, P4, F7, CP2, T3, CP1, T6, C4, P3, F3, CZ, CP6, F4, FP2, O1, F10, FP1, F8, FZ, FC5, O2, C3, F9"
PN16,1,T6,T6
PN16,2,CP5,"T6, CP5"
PN16,3,FC6,"T6, CP5, FC6"
PN16,4,T5,"T6, CP5, FC6, T5"
PN16,5,PZ,"T6, CP5, FC6, T5, PZ"
PN16,6,T3,"T6, CP5, FC6, T5, PZ, T3"
PN16,7,T4,"T6, CP5, FC6, T5, PZ, T3, T4"
PN16,8,P3,"T6, CP5, FC6, T5, PZ, T3, T4, P3"
PN16,9,CP1,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1"
PN16,10,O1,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1"
PN16,11,FC1,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1"
PN16,12,F7,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7"
PN16,13,P4,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4"
PN16,14,FC5,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5"
PN16,15,F10,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10"
PN16,16,F3,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3"
PN16,17,CP2,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2"
PN16,18,FP1,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1"
PN16,19,CP6,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6"
PN16,20,F9,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9"
PN16,21,F4,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4"
PN16,22,C4,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4, C4"
PN16,23,FP2,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4, C4, FP2"
PN16,24,O2,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4, C4, FP2, O2"
PN16,25,F8,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4, C4, FP2, O2, F8"
PN16,26,FC2,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4, C4, FP2, O2, F8, FC2"
PN16,27,CZ,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4, C4, FP2, O2, F8, FC2, CZ"
PN16,28,FZ,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4, C4, FP2, O2, F8, FC2, CZ, FZ"
PN16,29,C3,"T6, CP5, FC6, T5, PZ, T3, T4, P3, CP1, O1, FC1, F7, P4, FC5, F10, F3, CP2, FP1, CP6, F9, F4, C4, FP2, O2, F8, FC2, CZ, FZ, C3"
PN17,1,T6,T6
PN17,2,CP5,"T6, CP5"
PN17,3,F10,"T6, CP5, F10"
PN17,4,PZ,"T6, CP5, F10, PZ"
PN17,5,T3,"T6, CP5, F10, PZ, T3"
PN17,6,FC5,"T6, CP5, F10, PZ, T3, FC5"
PN17,7,P4,"T6, CP5, F10, PZ, T3, FC5, P4"
PN17,8,FC6,"T6, CP5, F10, PZ, T3, FC5, P4, FC6"
PN17,9,CP1,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1"
PN17,10,T4,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4"
PN17,11,T5,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5"
PN17,12,FC1,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1"
PN17,13,CP6,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6"
PN17,14,FC2,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2"
PN17,15,P3,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3"
PN17,16,F9,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9"
PN17,17,F3,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3"
PN17,18,FZ,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ"
PN17,19,C4,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4"
PN17,20,O1,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1"
PN17,21,F4,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4"
PN17,22,FP2,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4, FP2"
PN17,23,CP2,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4, FP2, CP2"
PN17,24,F8,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4, FP2, CP2, F8"
PN17,25,O2,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4, FP2, CP2, F8, O2"
PN17,26,F7,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4, FP2, CP2, F8, O2, F7"
PN17,27,CZ,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4, FP2, CP2, F8, O2, F7, CZ"
PN17,28,FP1,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4, FP2, CP2, F8, O2, F7, CZ, FP1"
PN17,29,C3,"T6, CP5, F10, PZ, T3, FC5, P4, FC6, CP1, T4, T5, FC1, CP6, FC2, P3, F9, F3, FZ, C4, O1, F4, FP2, CP2, F8, O2, F7, CZ, FP1, C3"
